Russian Federation,Russian Federation,RUS,Eastern Europe
Australia,Commonwealth of Australia,AUS,Australia and New Zealand
Saint Lucia,Saint Lucia,LCA,Caribbean
Belarus,Republic of Belarus,BLR,Eastern Europe
Suriname,Republic of Suriname,SUR,South America
Croatia,Republic of Croatia,HRV,Southern Europe
Armenia,Republic of Armenia,ARM,Western Asia
Brunei Darussalam,"Nation of Brunei, Abode of Peace",BRN,South-eastern Asia
Antigua and Barbuda,Antigua and Barbuda,ATG,Caribbean
Sudan,Republic of the Sudan,SDN,Northern Africa
Colombia,Republic of Colombia,COL,South America
Tajikistan,Republic of Tajikistan,TJK,Central Asia
Serbia,Republic of Serbia,SRB,Southern Europe
Palau,Republic of Palau,PLW,Micronesia
Latvia,Republic of Latvia,LVA,Northern Europe
Gabon,Gabonese Republic,GAB,Middle Africa
Cuba,Republic of Cuba,CUB,Caribbean
Nigeria,Federal Republic of Nigeria,NGA,Western Africa
Guyana,Co-operative Republic of Guyana,GUY,South America
Azerbaijan,Republic of Azerbaijan,AZE,Western Asia
