country_name,bipolar_disorder_%
Republic of Korea,0.5654090025595256
Kingdom of Bahrain,0.8340713530778885
Republic of Chile,0.7841844984463283
State of Qatar,0.822694752897535
Kingdom of Norway,0.8774196760995048
"Nation of Brunei, Abode of Peace",0.6253314316272736
Hellenic Republic,0.9454318157264164
Republic of Iceland,0.9458111034972327
Republic of Finland,1.0089319220611028
Kingdom of Denmark,1.0089229941368103
Republic of Mauritius,0.5604962451117379
Republic of Croatia,0.7181858931268964
Barbados,0.9184611439704895
Kingdom of Saudi Arabia,0.8096493865762439
Ireland,0.8020838967391423
Principality of Andorra,0.964323742049081
Republic of Hungary,0.7001093583447593
Oriental Republic of Uruguay,0.7752629284347806
Federal Republic of Germany,0.7749376807894025
Kingdom of Sweden,1.0606185410703932
Kingdom of Belgium,0.9534199578421456
United States of America,0.6537100374698639
Commonwealth of the Bahamas,0.8876945333821433
Kingdom of Spain,0.9686741786343711
State of Kuwait,0.8565445010151181
French Republic,0.9658300791467939
United Kingdom of Great Britain and Northern Ireland,1.0869684943131037
United Arab Emirates,0.803156139595168
Republic of Panama,0.804430399622236
Canada,0.7160080692597798
Republic of Trinidad and Tobago,0.8939520014183862
Republic of Poland,0.7060915338141578
Antigua and Barbuda,0.9235827901533672
Republic of Singapore,0.727550072329385
Republic of Latvia,0.6939010322093964
Sultanate of Oman,0.783696249127388
Japan,0.6874782123735973
Italian Republic,0.9475251414946148
New Zealand,1.1990135652678353
Swiss Confederation,0.9528429635933467
Portuguese Republic,0.9241975737469537
Republic of Lithuania,0.6950132484946933
Commonwealth of Australia,1.144660004547664
Republic of Slovenia,0.7236900010279247
Republic of Estonia,0.7053138911724091
Republic of Seychelles,0.5639462854181018
