country_name,schizophrenia_%
Republic of Korea,0.2592820003628731
Kingdom of Bahrain,0.2051901434149061
Republic of Chile,0.19838385603257588
State of Qatar,0.2125026775257928
Kingdom of Norway,0.21145967873079435
"Nation of Brunei, Abode of Peace",0.2725536046283586
Hellenic Republic,0.2522601783275604
Republic of Iceland,0.2568445716585432
Republic of Finland,0.26742343072380337
Kingdom of Denmark,0.24241800074066436
Republic of Mauritius,0.2338713923735278
Republic of Croatia,0.20529242871063097
Barbados,0.2299200344298567
Kingdom of Saudi Arabia,0.20221842878631183
Ireland,0.31880524860961096
Principality of Andorra,0.26449153465884073
Republic of Hungary,0.20238267736775534
Oriental Republic of Uruguay,0.19668892824224063
Federal Republic of Germany,0.25179592786090715
Kingdom of Sweden,0.27940685940640314
Kingdom of Belgium,0.2587663935763495
United States of America,0.3381166788084166
Commonwealth of the Bahamas,0.20456449953573091
Kingdom of Spain,0.2805400011794908
State of Kuwait,0.21299307154757635
French Republic,0.2578921062605722
United Kingdom of Great Britain and Northern Ireland,0.2525493566479002
United Arab Emirates,0.2096310013106891
Republic of Panama,0.20754403620958328
Canada,0.3144728200776236
Republic of Trinidad and Tobago,0.17393589232649123
Republic of Poland,0.20195914485624858
Antigua and Barbuda,0.204877429242645
Republic of Singapore,0.27011257090738844
Republic of Latvia,0.1951874287000724
Sultanate of Oman,0.1992986069193908
Japan,0.2946932518056461
Italian Republic,0.23631971435887472
New Zealand,0.340113249208246
Swiss Confederation,0.2611850681049483
Portuguese Republic,0.24824635737708636
Republic of Lithuania,0.19508310620273864
Commonwealth of Australia,0.364497857434409
Republic of Slovenia,0.20958257200462477
Republic of Estonia,0.19903310814074107
Republic of Seychelles,0.24018785783222743
