country_name,alcohol_use_disorders_%
Republic of Bulgaria,1.8217817970684596
Republic of Belarus,5.286263074193682
Russian Federation,5.158490981374468
Republic of Hungary,2.3181534579821994
Ukraine,5.059725931712559
Republic of Poland,1.9523869710309165
Republic of Moldova,3.8326315794672285
